Star,Feedback
4,"Искала крем или гель на лето с гиалуроновой кислотой и защитой от солнца в одном флаконе. Думала, что нашла, но этот крем мне не особо подошел. У меня смешанная кожа, и там, где она нормальная или сухая - крем впитывается хорошо. А вот на жирных участках крем впитывается долго и неохотно. Затем, когда выходишь на солнце - на этих жирных участках создается ощущение пленки, и лицо начинает потеть и блестеть. Придется оставить его на зиму, или отдать маме. Ей он вроде как подошел. А так вообще крем пришел упакованный, с защитными пленочками. Запах и текстура приятные."
2,"Крем возможно не плохой, но у меня от него пошла аллергическая реакция. Не рекомендую"
5,"Крем хороший, брала в первый раз. Быстро впитывается, под макияж не подойдёт "
4,"Запах приятный, но не понравилось, что коробка была помята и будто вскрыта уже, и не было защитной пленки сверху крема."
5,"Взяла первый раз, крем хороший, но для лета жирноват!"
5,Отличный крем.
3,Не вижу эффекта. Пользуюсь 3 месяца
5,Классный крем!!! Буду заказывать еще
5,Приятна легкая текстура. Не таит во время потоотделения
5,Увлажняет не липнет быстро впитывается)))и дешевле чем во всех косметических магазинах)
5,"Доставлен быстро, упакован хорошо, смутило отсутствие защитной мембраны под крышкой... Опробовала, пахнет приятно, хорошо впитывается, не оставляет блеска. Раньше таким не пользовалась. Посмотрим, как будет в деле. Спасибо за цену и качество."
5,"Крем немного жирноват для моей кожи, но это не критично. В целом текстура сне понравилась, буду пользоваться."
5,"Замечательный крем таким пользуюсь давно , единственный момент не знаю где оставить отзыв о доставке пожалуйста сотрудники, которые отправляют и  упаковывают товар будьте внимательны!! неоднократно замечено, заклеивают стикером сроки годности! не делайте так больше, невозможно проверить приходится отдирать всё с мясом.."
5,Отличный крем
5,"Мне нравится эта серия (и ночной, и для глаз). Только вот на зиму дневной увлажняющий нельзя, надо будет искать замену на холодное время."
5,"Пришел в отличном состоянии, полностью закрыт в пакет запаянный."
5,"Хороший крем, ни первый раз заказываю."
5,"Мне крем подошёл, крем супер"
5,Хороший крем.
5,"отличный крем. ненавязчивый запах чистоты. текстура очень приятная. хорошо впитывается, увлажняет. кожа не жирнится и не сушится. расход небольшой. пользуюсь почти месяц.
упаковано было отлично - контроли вскрытия как на баночке, так и на коробочке с двух сторон. коробка была упакована в пурырку и в ещё один герметичный пакет 🙌 все целое. однозначно рекомендую. и цена приятная - намного выгоднее чем в магазине. заказала ещё один на подарок"
5,"Очень хороший бюджетный крем , заказываем с мамой уже больше года, всегда все устраивает)советую "
5,Отличный крем. Заказываю уже второй раз. Запах просто бомба. Для моей жирной кожи идеальный вариант. Хорошо увлажняет без липкой пленки на лице
5,"Минус один - мятая коробочка. Но сам крем очень нежный, текстурный, лицо увлажнено, я с него балдею. Спасибо продавцу👍"
5,Классный крем!
1,Крем пришёл распечатанный без слюды.
5,"Пользуюсь этим кремом очень давно. Хорошо увлажняет кожу, имеет приятный аромат. Товар в слюде, все как полагается. Не подделка. Продавца рекомендую. "
5,"Крем беру не в первый раз, запах, консистенция все нравится. Хорошо впитывается, смягчает, не вызывает аллергии."
5,"Крем очень хороший,беру не в первый раз"
5,"Отлично впитывает, лёгкий!"
4,Пахнет хорошо. Все дошло.
4,Вместо ночного пришёл дневной.
5,Рекомендую
5,"Однозначно разглаживает, буду заказывать ещё 😉 просто вау 🤩 "
5,"Крем хороший хорошо увлажняет кожу,пользуюсь уже года 3,а на ночь наношу с этой же серии ночной.мне очень нравиться.!"
5,Хороший крем. Для лета немного жирноват.
5,"Крем просто находка,пользуюсь этими кремами 5 лет,незаменимый.Рекомендую."
5,Приятный крем.
5,"Приятно пахнет. 
Жирненький, но впитывается хорошо. Нет ощущения пленки на лице. "
5,"Обыкновенный увлажняющий крем, без каких-либо чудес. Спф слабоват, от солнца не защищает особо, увлажняет неплохо, хорошо впитывается, купила уже вторую банку"
5,"Отличный крем! Хорошо впитывается , кожа увлажненная и бархатная!"
5,Косметика этой серии и фирмы очень нравится. Пользуюсь с удовольствием. Спасибо.
5,"Крем очень хороший, рекомендую. Пришло все целое. Спасибо!"
5,"В первый раз взяла такой крем , ещё не осенила его качество , Но на первый взгляд не плохой )"
5,"Отличный крем. беру уже не в первый раз. легкая отдышка, не липкий, быстро впитывается. "
5,"Крем супер,мягенький, ложится отлично, рекомендую"
5,Соответствует описанию.
5,"Срок годности хороший. Запах вкусный. Советую, раздражения нет."
5,"Отличный крем, заказываю не первый раз"
5,"Крем нравится, для сухой кожи самое то.."
5,"Пришел в коробке фирменной, запаяно, крышка на банке - тоже запаяно. Контроль вскрытия не поврежден, никто не открывал крем. Дешевле здесь намного, чем в МК."
5,"В целом крем хороший, для меня немного в летний период жирноват, лицо блестит сильно "
5,"Жирноват, а так отличный"
5,Отличный товар .
5,Любимый кремушек по приятной цене)
5,Пользуюсь боллее 2х лет.крем осень нравится
5,"Жирный,не особо быстро впитывается,ожегов нет как писали ранее!"
5,Огромное спасибо за товар!
5,"Беру уже третью баночку, вписывается прекрасно, кожа бархатная, но спф слабенький"
5,Как в магазине
5,"Отличный крем, постоянно его беру, хорошо увлажняет."
4,Очень жирный.
5,"Крем хороший, пахнет тоже очень приятно, но нет защитной пленки.
При нанесении на лицо немного щипал с минуту, но увлажняет кожу очень хорошо.
Но за такие деньги неплохой вариант."
5,Хорошо увлаюняющий крем.
5,"Хорошо упакован, спксибо продав..."
5,"Вроде неплохой, пока не поняла . Хорошо упакован"
5,"Отличный, легкий кремушек:)"
